,betweenness_centrality,C_i,degree
0,0.003160341116179179,0.06031746031746032,36
1,0.0,0.0,1
2,0.0002895806033400033,0.2,5
3,0.0003601880676500333,0.16666666666666666,4
4,0.0001708166540733188,0.49166666666666664,16
5,0.00050286583593598,0.08088235294117647,17
6,0.0010624630407865428,0.3145235892691952,47
7,0.00021275778353465192,0.696969696969697,12
8,0.0,1.0,2
9,0.0,1.0,2
10,0.0006123397846749565,0.4411764705882353,17
11,2.6926495968361935e-08,0.6666666666666666,3
12,0.00140270485888997,0.17349896480331262,70
13,0.0,1.0,3
14,0.0005251323460433093,0.1794871794871795,13
15,0.0,1.0,3
16,3.564356210664883e-05,0.47619047619047616,7
17,0.0022369618102116608,0.03409090909090909,33
18,1.5217542452243274e-05,0.6215384615384615,26
19,0.0003151127087088872,0.2644757433489828,72
20,0.0010539097695775324,0.23276003276003276,111
21,0.00020662091662350678,0.30745098039215685,51
22,0.0,1.0,4
23,0.0004136995557862919,0.2427536231884058,24
24,0.0,1.0,2
25,0.0004254833136659247,0.2,6
26,3.5837114865693963e-09,0.6666666666666666,3
27,0.0,1.0,2
28,0.00026386293162397747,0.40711462450592883,23
29,8.83499751966887e-06,0.5,5
30,0.0014570628269484978,0.2397105382180009,67
31,0.0003161902591612572,0.6431451612903226,32
32,0.0001161854081747751,0.26666666666666666,15
33,0.0,1.0,2
34,0.0,1.0,2
35,0.0,1.0,2
36,0.0032107421523352303,0.06653225806451613,32
37,0.000974262152830829,0.14545454545454545,11
38,0.0,1.0,2
39,0.0032688242788524325,0.10100475938656796,62
40,0.0004482939284325198,0.15151515151515152,22
41,0.000377531364351983,0.4594594594594595,38
42,0.007576774300323799,0.10901960784313726,51
43,0.0001497360383432486,0.38768115942028986,24
44,0.004905510679060094,0.11996336996336997,105
45,0.0018525372613709267,0.3584905660377358,54
46,0.00041127463102666283,0.27472527472527475,14
47,0.0,1.0,2
48,0.0,1.0,2
49,0.0,0.0,1
50,0.00011796320090529326,0.46153846153846156,13
51,6.41553382565262e-05,0.580952380952381,15
52,8.687164686119021e-05,0.4852941176470588,17
53,8.687164686119021e-05,0.4852941176470588,17
54,0.0007641728214242075,0.23076923076923078,27
55,0.0032632484884892606,0.1745669141442985,103
56,4.688659979740791e-05,0.46153846153846156,14
57,0.0,0.0,1
58,6.450680675824913e-08,0.4,6
59,0.0005769353340227106,0.14285714285714285,7
60,0.002165359489591367,0.31450719822812845,43
61,0.0037592937400011293,0.11388888888888889,81
62,0.0006636451371757182,0.11688311688311688,22
